Year,Country,Receiver,Reg,Giver,GiverReg,Score
1998,Turkey,Turkey (R),A,Israel,A,0
1998,Israel,Israel (R),A,Turkey,A,5
1998,Estonia,Estonia (R),E,Israel,A,0
1998,Estonia,Estonia (R),E,Turkey,A,0
1998,Hungary,Hungary (R),CE,Israel,A,0
1998,Poland,Poland (R),CE,Israel,A,0
1998,Romania,Romania (R),CE,Israel,A,6
1998,Slovakia,Slovakia (R),CE,Israel,A,0
1998,Hungary,Hungary (R),CE,Turkey,A,0
1998,Poland,Poland (R),CE,Turkey,A,0
1998,Romania,Romania (R),CE,Turkey,A,0
1998,Slovakia,Slovakia (R),CE,Turkey,A,0
1998,Croatia,Croatia (R),SE,Israel,A,10
1998,Macedonia,Macedonia (R),SE,Israel,A,0
1998,Croatia,Croatia (R),SE,Turkey,A,4
1998,Macedonia,Macedonia (R),SE,Turkey,A,0
1998,Germany,Germany (R),C,Israel,A,0
1998,Slovenia,Slovenia (R),C,Israel,A,0
1998,Switzerland,Switzerland (R),C,Israel,A,0
1998,Germany,Germany (R),C,Turkey,A,0
1998,Slovenia,Slovenia (R),C,Turkey,A,3
1998,Switzerland,Switzerland (R),C,Turkey,A,0
1998,Cyprus,Cyprus (R),S,Israel,A,1
1998,Greece,Greece (R),S,Israel,A,0
1998,Malta,Malta (R),S,Israel,A,7
1998,Portugal,Portugal (R),S,Israel,A,2
1998,Spain,Spain (R),S,Israel,A,3
1998,Cyprus,Cyprus (R),S,Turkey,A,0
1998,Greece,Greece (R),S,Turkey,A,0
1998,Malta,Malta (R),S,Turkey,A,10
1998,Portugal,Portugal (R),S,Turkey,A,6
1998,Spain,Spain (R),S,Turkey,A,0
1998,Belgium,Belgium (R),W,Israel,A,5
1998,France,France (R),W,Israel,A,0
1998,Ireland,Ireland (R),W,Israel,A,0
1998,Netherlands,Netherlands (R),W,Israel,A,8
1998,United Kingdom,United Kingdom (R),W,Israel,A,12
1998,Belgium,Belgium (R),W,Turkey,A,1
1998,France,France (R),W,Turkey,A,0
1998,Ireland,Ireland (R),W,Turkey,A,8
1998,Netherlands,Netherlands (R),W,Turkey,A,7
1998,United Kingdom,United Kingdom (R),W,Turkey,A,12
